iso3,ISI,ISI_prod,ISI_broad,ICI,ICI_long,ICI_basic,ICI_basic_full,ICI_coverage,ESI,ESI_alt,ESI_prod,ESI_dest,ECI,ECI_long,ECI_basic,ECI_basic_full,ECI_prod,ECI_coverage,CGI,CGI_long,CGI_basic,CGI_basic_full,CGI_coverage,SGI,SGI_long,SGI_basic,SGI_basic_full,SGI_coverage,ICI_upstream,ICI_downstream,CGI_upstream,CGI_downstream
BIH,0.4745270244416043,0.26593577077643454,0.08343689406727742,0.0067338519348267,0.013431640145261606,0.013015807064538911,0.011745621237043822,0.85313608643464,0.04228687830598265,0.1008605416775409,0.2075586772657594,0.2704994969620783,0.004547312378746491,0.00932931357128172,0.010630654068501588,0.009607654875326832,0.010201895332718248,0.8626106816297144,0.00259961054180495,0.005973279846413709,0.01298837673977178,0.010349845826964804,0.7672959903057607,0.00223196531032091,0.005407619724195465,0.006887881098129038,0.00516417324741239,0.7905541993461708,0.003149065051247453,0.013215165536690556,0.001419043559813231,0.0032712835469446556
BLM,0,0.24532031400663476,0,0,0,0,0,0,0.006607821934317677,0.01989040057925855,0.06855373787571267,0.09946484728123402,0.0012419667033501073,0.002993409564915521,0.003381572951078855,0.00335806400174941,0.002236036667402128,0.9516014015598393,0,0,0,0,0.7067526660441725,0,0,0,0,0.4682656299429041,0,0,0,0
BLR,0.33804747502092775,0.3073963465119172,0.20020580140163827,0.007740613545502433,0.02070639387287551,0.01917084144136804,0.00980930452625142,0.49155069544215385,0.021845037429733895,0.07237442280581134,0.16804773470443501,0.27573031077859134,0.0041255465680375926,0.010660732884933685,0.010951212203129635,0.00699846560157745,0.005787056259871098,0.5511254525251172,0.008542574737785092,0.020350691475923482,0.039950894748832226,0.029414620107154926,0.6693298231178356,0.005306983959136114,0.016324900466909008,0.016341232390418004,0.01288215282888158,0.5816273429053505,0.005433472658111217,0.010747855775188057,0.007054196186199333,0.009017157463412797
BLZ,0.21282483632800678,0.23010795007039594,0.08988843815103445,0.0018108596648610511,0.0027965176033443273,0.004960473070710014,0.004181146604322002,0.5619714621031375,0.008640760730975855,0.011794510469546644,0.06512002107831401,0.23936038845680555,0.0012174199157002888,0.0024862067364622344,0.003844028447213444,0.0034171451894883364,0.0015759921236058651,0.8111183566642624,0.004201135785271327,0.009313473568086678,0.02343188636028972,0.01634621127411132,0.6627254732678062,0.0043334543767664345,0.008664819901400589,0.01831511098786898,0.006523667900350923,0.4241436230974514,0.0015981004736311598,0.005723717200837051,0.0023124728267740423,0.005569965570593274
BMU,0.14447813456195313,0.2156423131527001,0.01072079449075482,NA,NA,NA,0.0037204934145355873,0,0.0032784678163611672,0.003834774608671151,0.0270555556992093,0.11435045956579154,6.576043118713932e-4,0.0012232066131959464,0.003393662699386077,0.001660991093882962,8.734646165969981e-4,0.41258808254171975,5.843973373229138e-4,0.0011731001860242174,0.00475445553827896,0.003632861297533528,0.7334917968410584,0.002243955450119113,0.0037673814681657967,0.009913356224846565,0.008811824111475802,0.9689029642417537,NA,NA,5.276356079732849e-4,5.865846775598483e-4
BOL,0.33490715986557495,0.2539833097047789,0.15551306142595336,4.337896305150163e-4,0.001287223421629566,0.001288596987654582,6.380409645911151e-4,0.3963135648255457,0.004973108182789163,0.006984026603483142,0.02724270375406986,0.3473573613697158,4.210799302134999e-4,0.0012976172646995635,0.0012249616626637955,5.506283914389622e-4,4.8236593073039467e-4,0.30373771105248215,0.005244040520629585,0.01178711580456592,0.025071968423016712,0.01813845910199565,0.6738590578061541,0.001435833798370176,0.0036833486366308066,0.01002406024934838,0.010306113887171967,0.37864482660283555,2.073103111254449e-4,0.0015674325423745957,0.003939426334778189,0.005945397411967919
BRA,0.4030556842146942,0.2882875607779327,0.20172134624603186,0.005492667316592904,0.014186722876359721,0.012049467929439566,0.004269808237829894,0.1790649961589873,0.05471409366113179,0.08737295418658284,0.18571592203693915,0.6231204291668048,0.0018646266089613962,0.004482066104189934,0.004116380495977545,0.0030921606185430658,0.0022142431555841305,0.6099223661371955,0.005550959675356077,0.01324163551106289,0.026855244993623163,0.02131961357877143,0.7514163770415904,0.006583291220726511,0.018076836064054,0.020683963107014484,0.013653036506011263,0.5760047826581268,0.004677017541398816,0.005909854206473169,0.003861393381802516,0.007398948986010174
BRB,0.27610036369392993,0.23367306861184406,0.036245862986492926,0.002780740178863562,0.0058961163121505275,0.006822974500893621,0.003297461205724559,0.46885251127703065,0.005309465098956027,0.029515424342644394,0.09587789039966584,0.230596136946826,0.003002550350903687,0.005196561288346359,0.007018904869300785,0.0034601577065168044,0.004322382359231117,0.44359917093780765,0.0015855764201830262,0.0035698882785986817,0.008067839938527407,0.00516643091478575,0.6166237797512207,0.0014790349644473466,0.0036852532142324836,0.004430595530117348,0.0037679848818255503,0.6091250830556865,0.005011611301532543,0.0012536959778227915,0.0017662326068828033,0.0014494889877694408
BRN,0.21850840262703874,0.1283528005561848,0.05562015537954476,0.008318054590119577,0.020207808023976738,0.02030671982529781,0.001630075971083404,0.01241828928697798,0.014411328855915433,0.0470761555280716,0.02963362717283898,0.3242028715775504,2.644192066684006e-4,7.328627850324653e-4,7.352459215276599e-4,7.17495014602482e-4,2.165603107073837e-4,0.568747365897143,0.0013478080842993351,0.0030774774636994316,0.006753124358590077,0.005677435890448981,0.7546529044169847,0.008833523406916816,0.02791271052143654,0.013654523312861492,0.007261942443189345,0.5667946755327038,0.009138981171619348,0.008683055243259824,6.198060476684855e-4,0.004003623225195003
BTN,0.19127746960088415,0.20233921669354718,0.03661751593650136,1.674733348572362e-4,0.0015299300967321014,3.421336207077525e-4,1.910345738273067e-4,0.4627251779360427,0.0021250960002763327,0.004643288078909025,0.018700935754963406,0.10062907195181778,6.118047349931332e-4,0.0023124963705593057,0.002022118957231104,0.0019333469162391718,5.553114722887211e-4,0.5153556670896782,0.001551805958396724,0.007550765630149273,0.006912903775924157,0.004544354313941776,0.6259068052366755,2.754876268434918e-4,9.790826479813292e-4,0.001265771798219988,0.0021946257095655118,0.5523341243509655,5.2468008659000085e-5,0.0023409791669279693,4.3894386864143896e-4,0.002717350314539593
BWA,0.3270782802550765,0.20079294792566657,0.03213633938112252,0.004161632289850407,0.006574791541506356,0.003924494479343429,3.178168229916105e-4,0.055880114927420274,0.003522762921384882,0.010917826840442584,0.030549408077215887,0.21160279281027813,0.003441026965418996,0.007203320827550257,0.00753207624758746,9.223088512815508e-4,0.006081291818529485,0.09760259805024761,0.0013027401476130138,0.002974852284908754,0.005653259882804509,0.0036160569022325325,0.6032912394738403,0.002015006170519091,0.013316711933055189,0.004708838735332536,7.350946220773535e-4,0.07467358365626256,5.281723631291342e-4,0.011775974520164764,8.002985079122862e-4,0.0015165819234457313
CAF,0.18132142870952733,0.1848180367236532,0.07744298481351308,0.00997434327993245,0.0304804810782744,0.029640275137127158,0.0030959499338423404,0.030973112037622035,0.003735355306467333,0.005805861136886774,0.03382797467593118,0.19584076047848786,0.0025015167518531636,0.004852728481356512,0.005125729379871793,0.002022186327520095,0.003759924845275565,0.27851761133079805,0.004567576868297338,0.009074298126678215,0.01907498341608212,0.013889289977886196,0.6827718013956849,0.007569075717747675,0.02142828774599183,0.024033869751596347,0.005606427905078943,0.2292269746148339,0.010560235996039212,0.010532176823385876,0.003948710446850315,0.003575432332155829
CAN,0.7279329026292862,0.3708514601268282,0.11440714671878895,0.005242960536273832,0.011728020836919203,0.008105591497473748,0.006059391818238019,0.48193111630759233,0.09252568797556782,0.09930809778596682,0.18002419177317527,0.663667430705666,0.003828120396563499,0.009449303040905683,0.008778179930507692,0.004779543334048276,0.004045007085619949,0.42326733326097193,0.005046217496092612,0.009418415727644238,0.024562075632184724,0.02005375022324888,0.7775468566048593,0.0029754238381075634,0.0069722814871051265,0.009420826684761734,0.006240122966734992,0.4602301864486696,0.0028079464344663596,0.009721525554804333,0.002615561837055473,0.0063200779593349694
CCK,0,0.11055939887046592,0,0,0,0,0,0,0.010760828823135877,0.022531310053143367,0.12019988811428828,0.25249905696324804,0.021339458441576878,0.038851759459315544,0.054211075213079433,0.03931614188001109,0.021592079565140594,0.5865630808249457,0,0,0,0,0.7327318351715484,0,0,0,0,0.42294286372514295,0,0,0,0
